,image_name,image_path,mask_path,split_name,dir_name
41,g32_xoff_384_yoff_64,,,VALID,data
42,g32_xoff_448_yoff_128,,,TRAIN,data
43,g32_xoff_448_yoff_192,,,TRAIN,data
44,g32_xoff_448_yoff_256,,,TRAIN,data
45,g32_xoff_64_yoff_128,,,TEST,data
46,g32_xoff_64_yoff_192,,,TRAIN,data
47,g32_xoff_64_yoff_256,,,TEST,data
48,g32_xoff_64_yoff_64,,,TRAIN,data
49,g35_xoff_128_yoff_0,,,TRAIN,data
50,g35_xoff_128_yoff_64,,,TRAIN,data
51,g35_xoff_64_yoff_64,,,TRAIN,data
52,g36_xoff_0_yoff_0,,,TRAIN,data
53,g36_xoff_64_yoff_0,,,TEST,data
54,g38_xoff_0_yoff_0,,,VALID,data
55,g40_xoff_0_yoff_0,,,TRAIN,data
56,g41_xoff_0_yoff_0,,,TRAIN,data
57,g41_xoff_64_yoff_64,,,VALID,data
58,g43_xoff_0_yoff_0,,,VALID,data
59,g43_xoff_64_yoff_0,,,TEST,data
60,g44_xoff_0_yoff_64,,,TRAIN,data
61,g44_xoff_128_yoff_0,,,TRAIN,data
62,g44_xoff_64_yoff_0,,,TRAIN,data
63,g44_xoff_64_yoff_64,,,TRAIN,data
64,g45_xoff_64_yoff_0,,,TRAIN,data
65,g46_xoff_64_yoff_64,,,VALID,data
66,g47_xoff_0_yoff_0,,,TRAIN,data
67,g47_xoff_64_yoff_0,,,TRAIN,data
68,g48_xoff_0_yoff_0,,,TRAIN,data
69,g48_xoff_128_yoff_0,,,TRAIN,data
70,g49_xoff_64_yoff_0,,,TRAIN,data
71,g49_xoff_64_yoff_64,,,TRAIN,data
72,g4_xoff_0_yoff_0,,,TEST,data
73,g4_xoff_64_yoff_0,,,TRAIN,data
74,g50_xoff_0_yoff_0,,,TRAIN,data
75,g50_xoff_0_yoff_64,,,TEST,data
76,g50_xoff_64_yoff_64,,,TRAIN,data
77,g51_xoff_0_yoff_0,,,TRAIN,data
78,g53_xoff_0_yoff_128,,,TRAIN,data
79,g53_xoff_128_yoff_128,,,VALID,data
80,g53_xoff_128_yoff_64,,,TRAIN,data
81,g53_xoff_64_yoff_128,,,TRAIN,data
82,g53_xoff_64_yoff_64,,,VALID,data
83,g54_xoff_128_yoff_128,,,TRAIN,data
84,g54_xoff_128_yoff_192,,,VALID,data
85,g54_xoff_192_yoff_0,,,TRAIN,data
86,g54_xoff_192_yoff_128,,,TRAIN,data
87,g54_xoff_256_yoff_128,,,TRAIN,data
88,g54_xoff_256_yoff_192,,,VALID,data
89,g54_xoff_256_yoff_320,,,TRAIN,data
90,g54_xoff_320_yoff_320,,,VALID,data
91,g54_xoff_384_yoff_64,,,VALID,data
92,g54_xoff_64_yoff_128,,,TRAIN,data
93,g55_xoff_0_yoff_0,,,TRAIN,data
94,g55_xoff_256_yoff_64,,,TRAIN,data
95,g55_xoff_64_yoff_0,,,TRAIN,data
96,g55_xoff_64_yoff_192,,,TRAIN,data
97,g56_xoff_0_yoff_0,,,TRAIN,data
98,g56_xoff_0_yoff_64,,,TRAIN,data
99,g56_xoff_64_yoff_64,,,VALID,data
100,g58_xoff_0_yoff_0,,,TRAIN,data
101,g58_xoff_64_yoff_0,,,TRAIN,data
102,g59_xoff_0_yoff_0,,,TRAIN,data
103,g59_xoff_64_yoff_0,,,TRAIN,data
104,g60_xoff_0_yoff_0,,,TRAIN,data
105,g61_xoff_0_yoff_0,,,TRAIN,data
106,g61_xoff_64_yoff_0,,,TEST,data
107,g62_xoff_0_yoff_0,,,VALID,data
108,g62_xoff_0_yoff_64,,,TRAIN,data
109,g62_xoff_64_yoff_0,,,TEST,data
110,g62_xoff_64_yoff_64,,,TRAIN,data
111,g63_xoff_0_yoff_0,,,TRAIN,data
112,g63_xoff_64_yoff_0,,,TRAIN,data
113,g64_xoff_0_yoff_64,,,TEST,data
114,g64_xoff_64_yoff_0,,,TRAIN,data
115,g64_xoff_64_yoff_64,,,VALID,data
116,g65_xoff_0_yoff_0,,,TRAIN,data
117,g65_xoff_0_yoff_64,,,TRAIN,data
118,g65_xoff_128_yoff_0,,,TRAIN,data
119,g65_xoff_128_yoff_64,,,VALID,data
120,g65_xoff_192_yoff_64,,,VALID,data
121,g65_xoff_64_yoff_0,,,TRAIN,data
122,g65_xoff_64_yoff_64,,,TEST,data
123,g66_xoff_0_yoff_64,,,TRAIN,data
124,g66_xoff_128_yoff_0,,,TRAIN,data
125,g66_xoff_128_yoff_64,,,TEST,data
126,g66_xoff_64_yoff_64,,,VALID,data
127,g67_xoff_0_yoff_0,,,TRAIN,data
128,g68_xoff_128_yoff_128,,,TRAIN,data
129,g68_xoff_128_yoff_64,,,TEST,data
130,g68_xoff_64_yoff_0,,,VALID,data
131,g68_xoff_64_yoff_128,,,TRAIN,data
132,g68_xoff_64_yoff_64,,,TRAIN,data
133,g69_xoff_0_yoff_0,,,TRAIN,data
134,g70_xoff_0_yoff_0,,,TRAIN,data
135,g70_xoff_64_yoff_0,,,TRAIN,data
136,g71_xoff_0_yoff_0,,,TRAIN,data
137,g71_xoff_0_yoff_128,,,TRAIN,data
138,g71_xoff_0_yoff_64,,,TEST,data
139,g71_xoff_128_yoff_0,,,TRAIN,data
140,g71_xoff_128_yoff_64,,,TEST,data
141,g71_xoff_64_yoff_0,,,TRAIN,data
142,g71_xoff_64_yoff_64,,,TRAIN,data
143,g72_xoff_0_yoff_128,,,VALID,data
144,g72_xoff_0_yoff_64,,,TRAIN,data
145,g72_xoff_128_yoff_0,,,TRAIN,data
146,g72_xoff_192_yoff_128,,,TRAIN,data
147,g72_xoff_256_yoff_64,,,TRAIN,data
148,g72_xoff_64_yoff_128,,,TEST,data
149,g72_xoff_64_yoff_64,,,TEST,data
150,g73_xoff_0_yoff_0,,,VALID,data
151,g73_xoff_64_yoff_0,,,TRAIN,data
152,g74_xoff_0_yoff_0,,,TRAIN,data
153,g74_xoff_0_yoff_64,,,TEST,data
154,g74_xoff_128_yoff_0,,,TRAIN,data
155,g74_xoff_128_yoff_64,,,TRAIN,data
156,g74_xoff_192_yoff_0,,,VALID,data
157,g74_xoff_192_yoff_64,,,TEST,data
158,g74_xoff_64_yoff_0,,,TRAIN,data
159,g76_xoff_0_yoff_0,,,TEST,data
160,g76_xoff_64_yoff_0,,,VALID,data
161,g76_xoff_64_yoff_128,,,TRAIN,data
162,g76_xoff_64_yoff_64,,,TRAIN,data
163,g77_xoff_0_yoff_0,,,TRAIN,data
164,g77_xoff_0_yoff_64,,,TRAIN,data
165,g77_xoff_128_yoff_0,,,TRAIN,data
166,g77_xoff_128_yoff_64,,,TEST,data
167,g77_xoff_192_yoff_128,,,TRAIN,data
168,g77_xoff_192_yoff_64,,,TRAIN,data
169,g77_xoff_256_yoff_64,,,TRAIN,data
170,g77_xoff_64_yoff_0,,,TRAIN,data
171,g78_xoff_128_yoff_128,,,TRAIN,data
172,g78_xoff_128_yoff_192,,,TEST,data
173,g78_xoff_128_yoff_64,,,VALID,data
174,g78_xoff_64_yoff_128,,,TRAIN,data
175,g78_xoff_64_yoff_192,,,TRAIN,data
176,g78_xoff_64_yoff_64,,,TRAIN,data
177,g79_xoff_128_yoff_0,,,TEST,data
178,g79_xoff_64_yoff_0,,,TRAIN,data
179,g7_xoff_0_yoff_0,,,TRAIN,data
180,g80_xoff_0_yoff_0,,,TEST,data
181,g80_xoff_0_yoff_64,,,TEST,data
182,g80_xoff_64_yoff_64,,,TRAIN,data
183,g81_xoff_0_yoff_0,,,TRAIN,data
184,g81_xoff_0_yoff_192,,,TRAIN,data
185,g81_xoff_128_yoff_192,,,TRAIN,data
186,g81_xoff_64_yoff_0,,,TRAIN,data
187,g81_xoff_64_yoff_64,,,TEST,data
188,g82_xoff_0_yoff_64,,,TRAIN,data
189,g82_xoff_128_yoff_64,,,TEST,data
190,g82_xoff_192_yoff_64,,,TEST,data
191,g82_xoff_64_yoff_0,,,TEST,data
192,g82_xoff_64_yoff_64,,,TRAIN,data
193,g84_xoff_0_yoff_0,,,TRAIN,data
194,g84_xoff_0_yoff_64,,,VALID,data
195,g84_xoff_64_yoff_0,,,TRAIN,data
196,g84_xoff_64_yoff_64,,,TRAIN,data
197,g85_xoff_0_yoff_0,,,TEST,data
198,g85_xoff_64_yoff_64,,,TEST,data
199,g86_xoff_0_yoff_0,,,VALID,data
200,g87_xoff_0_yoff_0,,,TRAIN,data
201,g87_xoff_64_yoff_0,,,TRAIN,data
202,g89_xoff_0_yoff_0,,,TEST,data
203,g89_xoff_0_yoff_64,,,TRAIN,data
204,g89_xoff_128_yoff_64,,,TRAIN,data
205,g89_xoff_64_yoff_64,,,TRAIN,data
206,g8_xoff_0_yoff_0,,,VALID,data
207,g90_xoff_0_yoff_0,,,TEST,data
208,g90_xoff_64_yoff_0,,,TEST,data
209,g93_xoff_0_yoff_0,,,TEST,data
210,g9_xoff_0_yoff_0,,,TEST,data
